County,2020 Total Persons in Poverty,,,,
APPLING,"3,550",,,,
ATKINSON,"1,801",,,,
BACON,"2,261",,,,
BAKER,701,,,,
BALDWIN,"8,910",,,,
BANKS,"2,245",,,,
BARROW,"8,629",,,,
BARTOW,"10,991",,,,
BEN HILL,"3,636",,,,
BERRIEN,"3,610",,,,
BIBB,"40,946",,,,
BLECKLEY,"2,134",,,,
BRANTLEY,"3,386",,,,
BROOKS,"3,140",,,,
BRYAN,"3,249",,,,
BULLOCH,"15,342",,,,
BURKE,"4,455",,,,
BUTTS,"4,651",,,,
CALHOUN,"1,555",,,,
CAMDEN,"5,021",,,,
CANDLER,"2,143",,,,
CARROLL,"19,693",,,,
CATOOSA,"6,796",,,,
CHARLTON,"2,781",,,,
CHATHAM,"43,011",,,,
CHATTAHOOCHEE,"1,222",,,,
CHATTOOGA,"4,431",,,,
CHEROKEE,"17,630",,,,
CLARKE,"28,845",,,,
CLAY,675,,,,
CLAYTON,"48,136",,,,
CLINCH,"1,326",,,,
COBB,"69,097",,,,
COFFEE,"9,184",,,,
COLQUITT,"9,078",,,,
COLUMBIA,"10,629",,,,
COOK,"3,340",,,,
COWETA,"12,862",,,,
CRAWFORD,"1,941",,,,
CRISP,"5,282",,,,
DADE,"1,954",,,,
DAWSON,"2,332",,,,
DECATUR,"6,495",,,,
DEKALB,"118,345",,,,
DODGE,"3,980",,,,
DOOLY,"3,040",,,,
DOUGHERTY,"22,686",,,,
DOUGLAS,"16,770",,,,
EARLY,"2,371",,,,
ECHOLS,821,,,,
EFFINGHAM,"5,293",,,,
ELBERT,"4,528",,,,
EMANUEL,"5,584",,,,
EVANS,"2,002",,,,
FANNIN,"4,111",,,,
FAYETTE,"6,079",,,,
FLOYD,"17,472",,,,
FORSYTH,"12,669",,,,
FRANKLIN,"3,708",,,,
FULTON,"136,220",,,,
GILMER,"4,437",,,,
GLASCOCK,447,,,,
GLYNN,"13,107",,,,
GORDON,"6,829",,,,
GRADY,"4,527",,,,
GREENE,"2,849",,,,
GWINNETT,"97,747",,,,
HABERSHAM,"5,963",,,,
HALL,"25,886",,,,
HANCOCK,"2,202",,,,
HARALSON,"4,633",,,,
HARRIS,"3,195",,,,
HART,"3,711",,,,
HEARD,"1,938",,,,
HENRY,"20,755",,,,
HOUSTON,"17,041",,,,
IRWIN,"1,720",,,,
JACKSON,"6,883",,,,
JASPER,"2,015",,,,
JEFF DAVIS,"3,003",,,,
JEFFERSON,"3,101",,,,
JENKINS,"2,111",,,,
JOHNSON,"2,059",,,,
JONES,"3,285",,,,
LAMAR,"2,504",,,,
LANIER,"2,046",,,,
LAURENS,"9,611",,,,
LEE,"2,947",,,,
LIBERTY,"8,886",,,,
LINCOLN,"1,310",,,,
LONG,"3,303",,,,
LOWNDES,"22,695",,,,
LUMPKIN,"3,896",,,,
MACON,"3,362",,,,
MADISON,"4,366",,,,
MARION,"1,736",,,,
MCDUFFIE,"3,490",,,,
MCINTOSH,"2,847",,,,
MERIWETHER,"4,617",,,,
MILLER,"1,091",,,,
MITCHELL,"7,426",,,,
MONROE,"3,447",,,,
MONTGOMERY,"1,577",,,,
MORGAN,"2,251",,,,
MURRAY,"6,319",,,,
MUSCOGEE,"40,029",,,,
NEWTON,"15,997",,,,
OCONEE,"2,468",,,,
OGLETHORPE,"2,022",,,,
PAULDING,"12,612",,,,
PEACH,"5,114",,,,
PICKENS,"3,423",,,,
PIERCE,"3,196",,,,
PIKE,"1,902",,,,
POLK,"6,912",,,,
PULASKI,"2,027",,,,
PUTNAM,"3,648",,,,
QUITMAN,523,,,,
RABUN,"2,341",,,,
RANDOLPH,"1,749",,,,
RICHMOND,"48,382",,,,
ROCKDALE,"11,464",,,,
SCHLEY,779,,,,
SCREVEN,"2,793",,,,
SEMINOLE,"1,832",,,,
SPALDING,"11,835",,,,
STEPHENS,"4,297",,,,
STEWART,"1,561",,,,
SUMTER,"6,726",,,,
TALBOT,"1,274",,,,
TALIAFERRO,362,,,,
TATTNALL,"4,330",,,,
TAYLOR,"1,831",,,,
TELFAIR,"3,774",,,,
TERRELL,"2,287",,,,
THOMAS,"7,072",,,,
TIFT,"7,999",,,,
TOOMBS,"5,919",,,,
TOWNS,"1,455",,,,
TREUTLEN,"1,501",,,,
TROUP,"11,136",,,,
TURNER,"1,667",,,,
TWIGGS,"1,593",,,,
UNION,"3,219",,,,
UPSON,"3,969",,,,
WALKER,"9,650",,,,
WALTON,"10,898",,,,
WARE,"8,660",,,,
WARREN,"1,204",,,,
WASHINGTON,"3,887",,,,
WAYNE,"5,497",,,,
WEBSTER,482,,,,
WHEELER,"1,864",,,,
WHITE,"3,778",,,,
WHITFIELD,"13,347",,,,
WILCOX,"1,851",,,,
WILKES,"1,919",,,,
WILKINSON,"1,732",,,,
WORTH,"3,590",,,,
GEORGIA,"1,465,325",,,,
,,,,,
,,,,,
"Sources: U.S. Census Bureau, Small Area Income and Poverty Estimates (SAIPE) Program",,,,,
"U.S. Census Bureau, American Community Survey 5-Yr. Estimates, ""Poverty Status in the Last 12 Months,"" Table S1701",,,,,
"U.S. Census Bureau, American Community Survey 5-Yr. Estimates, ""Poverty Status in the Last 12 Months of Families,"" Table S1702",,,,,
,,,,,
"Notes: - Data not available or data tabulation not appropriate. Rank: 1 = lowest (range 1-159). When counties share the same rank, a range is shown. Because of rounded data, counties may have identical values shown, but different ranks.",,,,,
"The weighted average poverty threshold for a family household of four persons was  in  (U.S. Census Bureau, ""Poverty Thresholds"").",,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
