County,Studio,1 BR,2 BR,3 BR,4 BR,Est. Population
Appling County,$507 ,$510 ,$648 ,$927 ,$975 ,"18,470"
Atkinson County,$488 ,$492 ,$648 ,$897 ,$975 ,"8,315"
Bacon County,$547 ,$568 ,$648 ,$829 ,"$1,122 ","11,280"
Baker County Metro,$624 ,$645 ,$761 ,$985 ,"$1,136 ","3,250"
Baldwin County,$598 ,$612 ,$709 ,$882 ,$992 ,"45,525"
Banks County,$586 ,$596 ,$684 ,$851 ,$944 ,"18,365"
Barrow County Metro,"$1,016 ","$1,040 ","$1,185 ","$1,491 ","$1,823 ","75,100"
Bartow County Metro,"$1,016 ","$1,040 ","$1,185 ","$1,491 ","$1,823 ","102,625"
Ben Hill County,$547 ,$548 ,$648 ,$860 ,$978 ,"17,270"
Berrien County,$494 ,$497 ,$648 ,$927 ,$972 ,"19,015"
Bibb County Metro,$522 ,$689 ,$787 ,"$1,002 ","$1,101 ","153,925"
Bleckley County,$507 ,$510 ,$648 ,$856 ,$968 ,"12,780"
Brantley County Metro,$680 ,$684 ,$830 ,"$1,160 ","$1,272 ","18,410"
Brooks County Metro,$588 ,$591 ,$770 ,"$1,086 ","$1,333 ","15,630"
Bryan County Metro,$877 ,$921 ,"$1,050 ","$1,442 ","$1,671 ","34,885"
Bulloch County,$598 ,$604 ,$716 ,"$1,025 ","$1,240 ","73,740"
Burke County Metro,$636 ,$708 ,$815 ,"$1,108 ","$1,411 ","22,645"
Butts County Metro,$653 ,$657 ,$866 ,"$1,161 ","$1,353 ","23,555"
Calhoun County,$488 ,$492 ,$648 ,$806 ,$879 ,"6,505"
Camden County,$679 ,$683 ,$866 ,"$1,180 ","$1,425 ","52,250"
Candler County,$507 ,$510 ,$648 ,$880 ,$955 ,"10,895"
Carroll County Metro,"$1,016 ","$1,040 ","$1,185 ","$1,491 ","$1,823 ","114,900"
Catoosa County Metro,$636 ,$694 ,$838 ,"$1,092 ","$1,306 ","65,870"
Charlton County,$547 ,$568 ,$648 ,$859 ,$941 ,"12,965"
Chatham County Metro,$877 ,$921 ,"$1,050 ","$1,442 ","$1,671 ","285,505"
Chattahoochee County Metro,$644 ,$717 ,$832 ,"$1,118 ","$1,441 ","11,095"
Chattooga County,$488 ,$492 ,$648 ,$906 ,"$1,114 ","24,880"
Cherokee County Metro,"$1,016 ","$1,040 ","$1,185 ","$1,491 ","$1,823 ","235,895"
Clarke County Metro,$663 ,$699 ,$815 ,"$1,104 ","$1,281 ","123,555"
Clay County,$507 ,$510 ,$648 ,$927 ,$975 ,"3,025"
Clayton County Metro,"$1,016 ","$1,040 ","$1,185 ","$1,491 ","$1,823 ","274,150"
Clinch County,$507 ,$510 ,$648 ,$927 ,$975 ,"6,790"
Cobb County Metro,"$1,016 ","$1,040 ","$1,185 ","$1,491 ","$1,823 ","739,070"
Coffee County,$547 ,$568 ,$648 ,$806 ,$879 ,"43,050"
Colquitt County,$515 ,$519 ,$648 ,$806 ,$913 ,"45,890"
Columbia County Metro,$636 ,$708 ,$815 ,"$1,108 ","$1,411 ","143,725"
Cook County,$523 ,$526 ,$648 ,$842 ,"$1,016 ","17,190"
Coweta County Metro,"$1,016 ","$1,040 ","$1,185 ","$1,491 ","$1,823 ","138,015"
Crawford County Metro,$522 ,$689 ,$787 ,"$1,002 ","$1,101 ","12,385"
Crisp County,$547 ,$568 ,$648 ,$861 ,$882 ,"23,005"
Dade County Metro,$636 ,$694 ,$838 ,"$1,092 ","$1,306 ","16,280"
Dawson County Metro,"$1,016 ","$1,040 ","$1,185 ","$1,491 ","$1,823 ","23,395"
Decatur County,$504 ,$507 ,$648 ,$849 ,$879 ,"27,025"
DeKalb County Metro,"$1,016 ","$1,040 ","$1,185 ","$1,491 ","$1,823 ","736,065"
Dodge County,$488 ,$492 ,$648 ,$815 ,$965 ,"21,065"
Dooly County,$547 ,$568 ,$648 ,$806 ,$879 ,"14,055"
Dougherty County Metro,$624 ,$645 ,$761 ,$985 ,"$1,136 ","91,520"
Douglas County Metro,"$1,016 ","$1,040 ","$1,185 ","$1,491 ","$1,823 ","140,150"
Early County,$485 ,$568 ,$648 ,$817 ,$915 ,"10,405"
Echols County Metro,$588 ,$591 ,$770 ,"$1,086 ","$1,333 ","4,010"
Effingham County Metro,$877 ,$921 ,"$1,050 ","$1,442 ","$1,671 ","57,085"
Elbert County,$488 ,$492 ,$648 ,$856 ,"$1,009 ","19,290"
Emanuel County,$488 ,$492 ,$648 ,$902 ,"$1,104 ","22,500"
Evans County,$488 ,$492 ,$648 ,$810 ,"$1,080 ","10,755"
Fannin County,$585 ,$598 ,$682 ,$976 ,"$1,168 ","24,480"
Fayette County Metro,"$1,016 ","$1,040 ","$1,185 ","$1,491 ","$1,823 ","110,305"
Floyd County Metro,$623 ,$627 ,$792 ,"$1,061 ","$1,255 ","96,470"
Forsyth County Metro,"$1,016 ","$1,040 ","$1,185 ","$1,491 ","$1,823 ","211,300"
Franklin County,$428 ,$563 ,$648 ,$925 ,$987 ,"22,330"
Fulton County Metro,"$1,016 ","$1,040 ","$1,185 ","$1,491 ","$1,823 ","1,010,420"
Gilmer County,$561 ,$565 ,$744 ,$925 ,"$1,288 ","29,615"
Glascock County,$547 ,$568 ,$648 ,$927 ,$981 ,"3,025"
Glynn County Metro,$680 ,$684 ,$830 ,"$1,160 ","$1,272 ","83,465"
Gordon County,$533 ,$547 ,$657 ,$939 ,"$1,120 ","56,425"
Grady County,$506 ,$509 ,$671 ,$907 ,$910 ,"25,050"
Greene County,$539 ,$542 ,$689 ,$871 ,$978 ,"16,730"
Gwinnett County Metro,"$1,016 ","$1,040 ","$1,185 ","$1,491 ","$1,823 ","889,955"
Habersham County,$452 ,$529 ,$685 ,$925 ,$929 ,"43,880"
Hall County Metro,$761 ,$834 ,$951 ,"$1,254 ","$1,402 ","192,865"
Hancock County,$507 ,$510 ,$648 ,$904 ,"$1,122 ","8,665"
Haralson County Metro,$653 ,$657 ,$789 ,"$1,061 ","$1,322 ","28,720"
Harris County Metro,$644 ,$717 ,$832 ,"$1,118 ","$1,441 ","33,200"
Hart County,$526 ,$530 ,$698 ,$868 ,"$1,075 ","25,535"
Heard County Metro,"$1,016 ","$1,040 ","$1,185 ","$1,491 ","$1,823 ","11,605"
Henry County Metro,"$1,016 ","$1,040 ","$1,185 ","$1,491 ","$1,823 ","217,505"
Houston County Metro,$720 ,$786 ,$896 ,"$1,173 ","$1,490 ","150,340"
Irwin County,$507 ,$510 ,$648 ,$806 ,$975 ,"9,280"
Jackson County,$575 ,$579 ,$763 ,"$1,043 ","$1,154 ","63,850"
Jasper County Metro,"$1,016 ","$1,040 ","$1,185 ","$1,491 ","$1,823 ","13,730"
Jeff Davis County,$507 ,$510 ,$648 ,$806 ,$887 ,"15,000"
Jefferson County,$488 ,$492 ,$648 ,$833 ,"$1,107 ","15,955"
Jenkins County,$507 ,$510 ,$648 ,$870 ,$975 ,"8,930"
Johnson County,$547 ,$568 ,$648 ,$877 ,$975 ,"9,800"
Jones County Metro,$522 ,$689 ,$787 ,"$1,002 ","$1,101 ","28,540"
Lamar County Metro,$637 ,$652 ,$743 ,$964 ,"$1,145 ","18,280"
Lanier County Metro,$588 ,$591 ,$770 ,"$1,086 ","$1,333 ","10,390"
Laurens County,$526 ,$529 ,$648 ,$888 ,"$1,035 ","47,450"
Lee County Metro,$624 ,$645 ,$761 ,$985 ,"$1,136 ","29,215"
Liberty County Metro,$803 ,$831 ,$947 ,"$1,355 ","$1,640 ","62,120"
Lincoln County Metro,$528 ,$587 ,$674 ,$911 ,$914 ,"7,770"
Long County Metro,$582 ,$586 ,$706 ,"$1,010 ","$1,118 ","17,855"
Lowndes County Metro,$588 ,$591 ,$770 ,"$1,086 ","$1,333 ","113,940"
Lumpkin County,$636 ,$640 ,$844 ,"$1,113 ","$1,405 ","31,565"
