Sector,School,County,2021 Enrollment Total Number,
Research,GEORGIA INSTITUTE OF TECHNOLOGY,Fulton,"43,859",
Research,GEORGIA STATE UNIVERSITY,Fulton,"52,350",
Research,UNIVERSITY OF GEORGIA,Clarke,"40,118",
Comprehensive,GEORGIA SOUTHERN UNIVERSITY,Bulloch,"27,091",
Comprehensive,KENNESAW STATE UNIVERSITY,Cobb,"42,983",
Comprehensive,UNIVERSITY OF WEST GEORGIA,Carroll,"12,718",
Comprehensive,VALDOSTA STATE UNIVERSITY,Lowndes,"11,573",
State Universities,ALBANY STATE UNIVERSITY,Dougherty,"6,324",
State Universities,CLAYTON STATE UNIVERSITY,Clayton,"6,820",
State Universities,COLUMBUS STATE UNIVERSITY,Muscogee,"7,924",
State Universities,FORT VALLEY STATE UNIVERSITY,Peach,"2,783",
State Universities,GEORGIA COLLEGE & STATE UNIVERSITY,Baldwin,"6,763",
State Universities,GEORGIA SOUTHWESTERN STATE UNIVERSITY,Sumter,"3,158",
State Universities,MIDDLE GEORGIA STATE UNIVERSITY,Bibb,"7,885",
State Universities,SAVANNAH STATE UNIVERSITY,Chatham,"3,395",
State Universities,UNIVERSITY OF NORTH GEORGIA,Lumpkin,"18,985",
State Colleges,ABRAHAM BALDWIN AGRICULTURAL COLLEGE,Tift,"3,815",
State Colleges,ATLANTA METROPOLITAN STATE COLLEGE,Fulton,"1,612",
State Colleges,COLLEGE OF COASTAL GEORGIA,Glynn,"3,249",
State Colleges,DALTON STATE COLLEGE,Whitfield,"4,535",
State Colleges,EAST GEORGIA STATE COLLEGE,Emanuel,"2,023",
State Colleges,GEORGIA GWINNETT COLLEGE,Gwinnett,"10,949",
State Colleges,GEORGIA HIGHLANDS COLLEGE,Floyd,"5,245",
State Colleges,GORDON STATE COLLEGE,Lamar,"3,101",
State Colleges,SOUTH GEORGIA STATE COLLEGE,Coffee,"1,774",
University System Total,,,"331,032",
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
