County,2020 Total Crash Fatalities,2020 Total Index Crimes Reported,"2020 Model-Based Estimate of Median Household Income, Dollars","2020 Average Weekly Wages, All Industries, Dollars",2020-21 Public Schools,2019 Public School CCRPI Score,"2020-21 Most Recent SAT Administration Average Scores, Combined",2019-20 ACT Composite Score,2016-2020 Mean Travel Time in Minutes,"2020 Votes Cast for President, Democratic Party, Percent","2020 Votes Cast for President, Republican Party, Percent",2020 Total Persons in Poverty,2020 Unemployment Rate,median gross rent (2017 - 2021),median value of owner-occupied housing units (2017 - 2021),Est. Population,Avg_Temp,Max_Temp,Min_Temp,Percipitation
APPLING,6,179,"$44,871 ","$1,061 ",6,72.8,"1,019",19,44.9,21.30%,78.30%,"3,550",4.70%,,,"18,470",66.4°F,77.9°F,54.9°F,"58.33"""
ATKINSON,1,91,"$39,633 ",$742 ,4,76.8,-,-,47.6,26.10%,72.90%,"1,801",3.90%,,,"8,315",66.3°F,77.7°F,55.0°F,"57.63"""
BACON,4,186,"$41,756 ",$747 ,4,81.5,"1,019",-,42.3,13.40%,86.10%,"2,261",4.60%,,,"11,280",66.2°F,77.5°F,55.0°F,"54.15"""
BAKER,3,0,"$43,696 ",$739 ,1,60.4,820,-,50.7,41.90%,57.70%,701,6.00%,,,"3,250",66.8°F,77.2°F,56.4°F,"55.60"""
BALDWIN,11,"1,376","$49,350 ",$706 ,6,69.7,990,16,45.3,50.10%,48.80%,"8,910",6.90%,,,"45,525",64.5°F,76.9°F,52.2°F,"50.43"""
BANKS,2,364,"$62,836 ",$695 ,4,74.8,"1,078",20,61.9,10.60%,88.60%,"2,245",4.30%,,,"18,365",61.8°F,72.6°F,51.0°F,"57.98"""
BARROW,18,"1,218","$64,460 ",$846 ,16,76.7,"1,053",19,33.9,27.60%,70.70%,"8,629",5.00%,,,"75,100",62.2°F,73.1°F,51.3°F,"53.92"""
BARTOW,28,"2,092","$64,980 ",$905 ,19,69.3,"1,051",20,56.6,24.00%,74.70%,"10,991",6.20%,,,"102,625",61.2°F,72.5°F,49.9°F,"57.80"""
BEN HILL,3,572,"$39,305 ",$686 ,5,64.3,955,16,15,36.50%,62.60%,"3,636",6.80%,,,"17,270",66.2°F,77.3°F,55.0°F,"56.54"""
BERRIEN,5,452,"$45,094 ",$698 ,5,69.7,"1,040",21,22.9,16.40%,82.90%,"3,610",5.70%,,,"19,015",66.1°F,77.6°F,54.5°F,"63.30"""
BIBB,33,"6,185","$44,467 ",$906 ,35,68.5,975,18,20.7,61.40%,37.60%,"40,946",7.50%,,,"153,925",64.8°F,77.2°F,52.5°F,"50.86"""
BLECKLEY,7,201,"$51,448 ",$635 ,5,79.9,"1,149",19,49.8,23.00%,75.80%,"2,134",6.50%,,,"12,780",65.5°F,77.4°F,53.5°F,"54.91"""
BRANTLEY,4,375,"$39,256 ",$705 ,7,76.4,"1,110",21,63.5,9.00%,90.20%,"3,386",5.30%,,,"18,410",67.1°F,78.7°F,55.5°F,"60.56"""
BROOKS,2,206,"$42,973 ",$754 ,6,59.6,925,17,48.5,39.30%,60.00%,"3,140",5.20%,,,"15,630",66.6°F,77.5°F,55.6°F,"65.18"""
BRYAN,5,540,"$81,890 ",$753 ,10,85.4,"1,095",22,61,31.60%,66.70%,"3,249",5.10%,,,"34,885",67.1°F,78.3°F,55.9°F,"57.54"""
BULLOCH,24,134,"$48,629 ",$748 ,15,73.7,"1,100",20,43.3,37.40%,61.10%,"15,342",6.50%,,,"73,740",66.3°F,78.2°F,54.3°F,"57.58"""
BURKE,6,441,"$44,870 ","$1,818 ",5,68.1,"1,053",18,52.8,48.80%,50.50%,"4,455",7.10%,,,"22,645",65.1°F,77.0°F,53.1°F,"47.76"""
BUTTS,11,220,"$52,720 ",$784 ,5,65.5,"1,066",18,62.4,27.80%,71.40%,"4,651",6.10%,,,"23,555",63.9°F,76.1°F,51.6°F,"50.41"""
CALHOUN,1,6,"$37,984 ",$652 ,3,56.3,-,-,23.3,57.50%,42.00%,"1,555",5.10%,,,"6,505",66.2°F,76.6°F,55.8°F,"56.82"""
CAMDEN,6,0,"$67,525 ",$912 ,12,86.4,"1,073",21,23.1,33.60%,64.40%,"5,021",4.80%,,,"52,250",68.4°F,78.5°F,58.2°F,"55.27"""
CANDLER,4,179,"$42,583 ",$606 ,4,68.8,973,18,45.6,28.60%,70.70%,"2,143",4.40%,,,"10,895",66.1°F,78.0°F,54.1°F,"59.13"""
CARROLL,23,"1,693","$64,554 ",$902 ,24,79,"1,047",20,57,29.80%,68.80%,"19,693",6.30%,,,"114,900",61.7°F,73.0°F,50.4°F,"64.84"""
CATOOSA,10,910,"$61,906 ",$739 ,16,79.6,"1,157",20,46.5,21.30%,77.20%,"6,796",4.40%,,,"65,870",60.8°F,71.5°F,50.1°F,"63.11"""
CHARLTON,2,57,"$46,061 ",$792 ,4,80.2,"1,041",-,30.2,24.20%,74.80%,"2,781",3.80%,,,"12,965",67.9°F,79.2°F,56.6°F,"55.23"""
CHATHAM,34,"1,447","$56,357 ",$968 ,60,71.4,"1,042",19,22.4,58.70%,39.90%,"43,011",7.60%,,,"285,505",67.3°F,77.8°F,56.8°F,"53.11"""
CHATTAHOOCHEE,1,0,"$51,811 ",$944 ,3,75.7,-,-,11.1,42.20%,55.60%,"1,222",6.30%,,,"11,095",64.2°F,76.0°F,52.3°F,"55.28"""
CHATTOOGA,9,280,"$44,399 ",$660 ,5,73.6,-,19,51.3,18.40%,80.20%,"4,431",8.30%,,,"24,880",60.8°F,71.9°F,49.7°F,"70.29"""
CHEROKEE,21,"1,275","$90,675 ",$863 ,37,83.4,"1,129",22,67.7,29.50%,68.80%,"17,630",4.80%,"$1,421 ","$292,300 ","235,895",60.5°F,71.3°F,49.6°F,"58.11"""
CLARKE,13,"4,536","$46,693 ",$972 ,21,66,"1,069",19,39.3,70.20%,28.10%,"28,845",6.40%,,,"123,555",62.9°F,73.8°F,52.0°F,"48.61"""
CLAY,1,39,"$35,937 ",$661 ,2,67.7,-,-,22.5,55.10%,44.40%,675,12.20%,,,"3,025",65.8°F,76.4°F,55.1°F,"59.38"""
CLAYTON,49,"9,361","$49,370 ","$1,200 ",66,62.4,977,17,62.1,85.00%,14.10%,"48,136",10.30%,"$1,100 ","$136,600 ","274,150",63.3°F,73.9°F,52.6°F,"51.23"""
CLINCH,1,17,"$43,088 ",$749 ,3,71.6,939,-,20.1,26.00%,73.60%,"1,326",3.90%,,,"6,790",66.8°F,78.1°F,55.5°F,"55.15"""
COBB,85,"13,515","$81,517 ","$1,259 ",110,86.1,"1,144",23,61.6,56.30%,42.00%,"69,097",5.90%,"$1,367 ","$293,800 ","739,070",61.9°F,72.7°F,51.2°F,"54.20"""
